ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm rca_tb.a rca_tb.b rca_tb.cin rca_tb.cout rca_tb.i rca_tb.j rca_tb.k rca_tb.sum
Created probe 1
ncsim> run
Time=1945, a=12, b=2, cin=1, cout=0, sum=15
Time=1950, a=12, b=3, cin=0, cout=0, sum=15
Time=1955, a=12, b=3, cin=1, cout=1, sum=0
Time=1960, a=12, b=4, cin=0, cout=1, sum=0
Time=1965, a=12, b=4, cin=1, cout=1, sum=1
Time=1970, a=12, b=5, cin=0, cout=1, sum=1
Time=1975, a=12, b=5, cin=1, cout=1, sum=2
Time=1980, a=12, b=6, cin=0, cout=1, sum=2
Time=1985, a=12, b=6, cin=1, cout=1, sum=3
Time=1990, a=12, b=7, cin=0, cout=1, sum=3
Time=1995, a=12, b=7, cin=1, cout=1, sum=4
Time=2000, a=12, b=8, cin=0, cout=1, sum=4
Time=2005, a=12, b=8, cin=1, cout=1, sum=5
Time=2010, a=12, b=9, cin=0, cout=1, sum=5
Time=2015, a=12, b=9, cin=1, cout=1, sum=6
Time=2020, a=12, b=10, cin=0, cout=1, sum=6
Time=2025, a=12, b=10, cin=1, cout=1, sum=7
Time=2030, a=12, b=11, cin=0, cout=1, sum=7
Time=2035, a=12, b=11, cin=1, cout=1, sum=8
Time=2040, a=12, b=12, cin=0, cout=1, sum=8
Time=2045, a=12, b=12, cin=1, cout=1, sum=9
Time=2050, a=12, b=13, cin=0, cout=1, sum=9
Time=2055, a=12, b=13, cin=1, cout=1, sum=10
Time=2060, a=12, b=14, cin=0, cout=1, sum=10
Time=2065, a=12, b=14, cin=1, cout=1, sum=11
Time=2070, a=12, b=15, cin=0, cout=1, sum=11
Time=2075, a=12, b=15, cin=1, cout=1, sum=12
Time=2080, a=13, b=0, cin=0, cout=0, sum=13
Time=2085, a=13, b=0, cin=1, cout=0, sum=14
Time=2090, a=13, b=1, cin=0, cout=0, sum=14
Time=2095, a=13, b=1, cin=1, cout=0, sum=15
Time=2100, a=13, b=2, cin=0, cout=0, sum=15
Time=2105, a=13, b=2, cin=1, cout=1, sum=0
Time=2110, a=13, b=3, cin=0, cout=1, sum=0
Time=2115, a=13, b=3, cin=1, cout=1, sum=1
Time=2120, a=13, b=4, cin=0, cout=1, sum=1
Time=2125, a=13, b=4, cin=1, cout=1, sum=2
Time=2130, a=13, b=5, cin=0, cout=1, sum=2
Time=2135, a=13, b=5, cin=1, cout=1, sum=3
Time=2140, a=13, b=6, cin=0, cout=1, sum=3
Time=2145, a=13, b=6, cin=1, cout=1, sum=4
Time=2150, a=13, b=7, cin=0, cout=1, sum=4
Time=2155, a=13, b=7, cin=1, cout=1, sum=5
Time=2160, a=13, b=8, cin=0, cout=1, sum=5
Time=2165, a=13, b=8, cin=1, cout=1, sum=6
Time=2170, a=13, b=9, cin=0, cout=1, sum=6
Time=2175, a=13, b=9, cin=1, cout=1, sum=7
Time=2180, a=13, b=10, cin=0, cout=1, sum=7
Time=2185, a=13, b=10, cin=1, cout=1, sum=8
Time=2190, a=13, b=11, cin=0, cout=1, sum=8
Time=2195, a=13, b=11, cin=1, cout=1, sum=9
Time=2200, a=13, b=12, cin=0, cout=1, sum=9
Time=2205, a=13, b=12, cin=1, cout=1, sum=10
Time=2210, a=13, b=13, cin=0, cout=1, sum=10
Time=2215, a=13, b=13, cin=1, cout=1, sum=11
Time=2220, a=13, b=14, cin=0, cout=1, sum=11
Time=2225, a=13, b=14, cin=1, cout=1, sum=12
Time=2230, a=13, b=15, cin=0, cout=1, sum=12
Time=2235, a=13, b=15, cin=1, cout=1, sum=13
Time=2240, a=14, b=0, cin=0, cout=0, sum=14
Time=2245, a=14, b=0, cin=1, cout=0, sum=15
Time=2250, a=14, b=1, cin=0, cout=0, sum=15
Time=2255, a=14, b=1, cin=1, cout=1, sum=0
Time=2260, a=14, b=2, cin=0, cout=1, sum=0
Time=2265, a=14, b=2, cin=1, cout=1, sum=1
Time=2270, a=14, b=3, cin=0, cout=1, sum=1
Time=2275, a=14, b=3, cin=1, cout=1, sum=2
Time=2280, a=14, b=4, cin=0, cout=1, sum=2
